trade_date,ticker,insider_name,insider_name_raw,title,qty,price,value,entry_price,outcome_30d,outcome_60d,outcome_90d,outcome_180d,return_30d,return_60d,return_90d,return_180d,last_updated,filing_date,filing_url,accession_number
2025-11-13,SRZN,Kutzkey Tim,Kutzkey Tim,"Dir, 10%",315457.0,12.65,3990531.0,12.65,21.614999771118164,18.0,,,70.86956340804872,42.29249011857707,,,2026-01-22T18:03:51.196577,,,
2025-11-28,MMS,Rajan Gayathri,Rajan Gayathri,Dir,42.0,86.11,3643.0,86.11,87.0,,,,1.0335617233770764,,,,2026-01-22T18:03:57.650054,,,
2025-11-28,MMS,Warren Michael J,Warren Michael J.,Dir,14.0,86.11,1240.0,86.11,87.0,,,,1.0335617233770764,,,,2026-01-22T18:03:58.029797,,,
2025-11-28,NEXT,Ltd Hanwha Aerospace Co,"Hanwha Aerospace Co., Ltd.",10%,627208.0,6.0,3766336.0,6.0,5.409999847412109,,,,-9.833335876464844,,,,2026-01-22T18:03:58.590847,,,
2025-11-28,NYC,Schorsch Nicholas S,Schorsch Nicholas S,10%,2187.0,7.68,16799.0,7.68,8.135000228881836,,,,5.924482146898909,,,,2026-01-22T18:03:59.137248,,,
2025-11-28,GRND,Zage George Raymond,Zage George Raymond III,"Dir, 10%",300000.0,12.9,3868500.0,12.9,13.40999984741211,,,,3.953487189241155,,,,2026-01-22T18:03:59.709526,,,
2025-11-26,STCB,Sklar Ross Jeffery,Sklar Ross Jeffery,"CEO, 10%",229501.0,0.03,6313.0,0.03,0.0350000001490116,,,,16.666667163372047,,,,2026-01-22T18:04:00.173137,,,
2025-11-28,KVHI,Deckoff Stephen H,Deckoff Stephen H,"Dir, 10%",28042.0,6.02,168902.0,6.02,6.739999771118164,,,,11.960129088341604,,,,2026-01-22T18:04:01.713364,,,
2025-11-28,ZIVO,Yaldoo Laith L,Yaldoo Laith L,"Dir, 10%",2777.0,9.0,24993.0,9.0,9.039999961853027,,,,0.4444440205891927,,,,2026-01-22T18:04:02.238462,,,
2025-11-28,LUCK,Born Richard Meynard,Born Richard Meynard,Dir,60000.0,8.09,485472.0,8.09,8.90999984741211,,,,10.135968447615692,,,,2026-01-22T18:04:02.797423,,,
2025-12-01,GRNT,Mccartney John,McCartney John,Dir,1026.0,5.23,5366.0,5.23,4.699999809265137,,,,-10.133846859175213,,,,2026-01-22T18:04:03.300473,,,
2025-12-02,FISV,Rosman Adam L,Rosman Adam L.,"Chief Admin., Legal Officer",7900.0,63.19,499201.0,63.19,65.58999633789062,,,,3.798063519371146,,,,2026-01-22T18:04:03.910231,,,
2025-12-01,FISV,Todd Paul M,Todd Paul M,CFO,17000.0,62.41,1060970.0,62.41,67.16999816894531,,,,7.626979921399321,,,,2026-01-22T18:04:04.482077,,,
2025-11-28,DMLP,Vaughn Robert C,Vaughn Robert C,Dir,195.0,21.36,4165.0,21.36,22.11000061035156,,,,3.511238812507317,,,,2026-01-22T18:04:05.232679,,,
2025-12-02,ENR,Lavigne Mark Stephen,Lavigne Mark Stephen,"Pres, CEO",10000.0,17.11,171100.0,17.11,19.93000030517578,,,,16.481591497228415,,,,2026-01-22T18:04:06.241703,,,
2025-12-02,ENR,Angelette Benjamin J,Angelette Benjamin J,Chief Administrative Officer,1000.0,17.14,17140.0,17.14,19.93000030517578,,,,16.277714732647492,,,,2026-01-22T18:04:06.589663,,,
2025-11-28,KFS,Fitzgerald John Taylor Maloney,Fitzgerald John Taylor Maloney,"Pres, CEO",192.0,13.03,2502.0,13.03,13.619999885559082,,,,4.528011401067404,,,,2026-01-22T18:04:07.326102,,,
2025-11-28,KFS,Hansen Kent A,Hansen Kent A,"CFO, EVP",120.0,13.03,1564.0,13.03,13.619999885559082,,,,4.528011401067404,,,,2026-01-22T18:04:07.699428,,,
2025-12-01,ESTC,Auvil Paul R,Auvil Paul R. III,Dir,10000.0,71.02,710230.0,71.02,75.44000244140625,,,,6.223602423833081,,,,2026-01-22T18:04:08.295382,,,
2025-12-01,SMRT,Martell Frank,Martell Frank,CEO,47278.0,1.69,79934.0,1.69,2.0199999809265137,,,,19.526626090326257,,,,2026-01-22T18:04:08.731320,,,
2025-12-01,FUSB,Field Robert C,Field Robert C,Dir,1000.0,13.61,13610.0,13.61,13.970000267028809,,,,3.159443549072808,,,,2026-01-22T18:04:09.379211,,,
2025-12-02,SMRT,Bohjalian Thomas N,Bohjalian Thomas N,Dir,50000.0,1.68,84165.0,1.68,1.9299999475479128,,,,14.880949258804328,,,,2026-01-22T18:04:09.939056,,,
2025-12-02,SELF,Klimoski Donald,Klimoski Donald II,GC,446.0,5.05,2252.0,5.05,5.099999904632568,,,,2.4356416758924464,,,,2026-01-22T18:04:10.680093,,,
2025-11-28,UUU,Ault Milton C,Ault Milton C III,Dir,100.0,4.4,440.0,4.4,5.110000133514404,,,,16.136366670781907,,,,2026-01-22T18:04:11.291423,,,
2025-08-21,SHIM,Yoder Todd Wilbur,Yoder Todd Wilbur,CFO,2000.0,2.8,5600.0,2.8,2.809999942779541,2.430000066757202,2.0999999046325684,,0.3571408135550426,-13.21428333009992,-25.000003405979697,,2026-01-22T18:04:11.767232,,,
2025-11-28,OSUR,Gagliano Nancy J,Gagliano Nancy J,Dir,2100.0,2.37,4982.0,2.37,2.430000066757202,,,,2.5316483863798327,,,,2026-01-22T18:04:12.586955,,,
2025-12-01,TEAM,Belsky Scott,Belsky Scott,Dir,1672.0,148.03,247506.0,148.03,162.13999938964844,,,,9.531851239376095,,,,2026-01-22T18:04:13.229069,,,
2025-11-28,BMEA,Erdtmann Rainer M,Erdtmann Rainer M,See Remarks,50000.0,1.09,54552.0,1.09,1.2100000381469729,,,,11.00917781164886,,,,2026-01-22T18:04:13.686913,,,
2025-12-01,LFT,Briggs James A,Briggs James A,CFO,10000.0,1.61,16055.0,1.61,1.409999966621399,,,,-9.937890271962804,,,,2026-01-22T18:04:14.308139,,,
2025-12-01,FLD,Young Bracebridge H,Young Bracebridge H Jr,Dir,8100.0,3.12,25308.0,3.12,2.609999895095825,,,,-16.346157208467144,,,,2026-01-22T18:04:14.757636,,,
2025-11-28,FRD,Scott Sandra Kay,Scott Sandra Kay,Dir,1000.0,20.16,20160.0,20.16,20.799177169799805,,,,3.1705216755942685,,,,2026-01-22T18:04:15.780404,,,
2025-12-01,RCG,Stahl Murray,Stahl Murray,"Pres, Co-Portfolio Manager, 10%",1134.0,2.52,2858.0,2.52,2.569999933242798,,,,2.8174576683649937,,,,2026-01-22T18:04:16.492917,,,
2025-12-01,XIVYX,Ghodoosi Arash,Ghodoosi Arash,"Pres, Principal Exec",41.0,12.19,500.0,12.19,,,,,,,,,2025-12-03T11:45:51.407004,,,
2025-12-01,NWBI,Meegan John P,Meegan John P,Dir,1500.0,12.1,18150.0,12.1,12.0,,,,-0.8264462809917326,,,,2026-01-22T18:04:17.795439,,,
2025-12-01,MYSZ,Luzon Ronen,Luzon Ronen,CEO,2600.0,0.91,2353.0,0.91,0.7580000162124634,,,,-16.703294921707325,,,,2026-01-22T18:04:18.665253,,,
2025-12-01,HKHC,Stahl Murray,Stahl Murray,"CEO, CIO, 10%",22.0,27.0,594.0,27.0,23.5,,,,-12.962962962962962,,,,2026-01-22T18:04:19.690306,,,
2025-11-28,CWBC,Cagle Dawn M,Cagle Dawn M,EVP,159.0,19.19,3051.0,19.19,22.6299991607666,,,,17.925998753343407,,,,2026-01-22T18:04:20.427285,,,
2025-11-28,CWBC,Livingston Shannon R,Livingston Shannon R,EVP,84.0,19.19,1612.0,19.19,22.6299991607666,,,,17.925998753343407,,,,2026-01-22T18:04:20.803098,,,
2025-11-28,CWBC,Martin Jeffrey Michael,Martin Jeffrey Michael,EVP,75.0,19.19,1439.0,19.19,22.6299991607666,,,,17.925998753343407,,,,2026-01-22T18:04:21.562491,,,
2025-11-28,CWBC,Plourd Martin E,Plourd Martin E,Pres,316.0,19.19,6063.0,19.19,22.6299991607666,,,,17.925998753343407,,,,2026-01-22T18:04:21.936393,,,
2025-12-01,TPL,Horizon Kinetics Asset Management Llc,Horizon Kinetics Asset Management LLC,10%,1.0,866.88,867.0,866.88,287.2200012207031,,,,-66.86738634866381,,,,2026-01-22T18:04:23.237611,,,
2025-12-01,MXF,Lp Saba Capital Management,"Saba Capital Management, L.P.",10%,10902.0,19.45,212044.0,19.45,19.811222076416016,,,,1.8571829121646084,,,,2026-01-22T18:04:24.104775,,,
